"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
237,"小池　徹平",13.9,60.7,1.2,6.3,3.3,2.1,11.1,16.5,2.1
238,"間宮　祥太朗",13.7,50.3,2.6,4.3,5.3,2.2,0.9,19.2,3.8
239,"おいでやす小田",13.6,62.3,19.2,0.7,11.7,2.2,1.0,0.9,1.0
239,"片岡　愛之助",13.6,58.1,2.7,2.7,10.8,2.7,1.0,6.5,11.1
239,"永山　瑛太",13.6,43.6,1.0,2.4,6.9,1.7,0.7,13.0,8.9
242,"ＤＥＡＮ　ＦＵＪＩＯＫＡ",13.4,63.3,1.4,5.1,7.7,2.1,0.3,22.8,16.1
242,"野村　萬斎",13.4,50.8,2.4,2.2,10.5,3.4,0.3,5.7,9.4
244,"カンニング竹山",13.2,75.8,23.7,0.2,17.0,3.3,1.7,1.2,2.6
244,"草刈　正雄",13.2,53.3,1.5,1.7,4.8,3.3,1.4,11.7,20.2
244,"坂口　健太郎",13.2,55.1,1.4,7.5,4.1,2.1,1.9,19.0,4.8
244,"渡部　篤郎",13.2,47.2,2.1,1.9,5.7,3.1,0.3,8.4,15.8
248,"野間口　徹",13.0,46.7,3.3,1.2,15.4,2.2,0.2,1.2,7.2
248,"佐久間　大介",13.0,46.1,7.7,3.6,7.0,2.2,3.9,10.8,2.1
248,"成田　凌",13.0,46.1,1.4,3.6,6.5,2.1,0.5,13.4,6.9
248,"仲野　太賀",13.0,34.5,5.1,2.7,7.0,2.9,1.4,4.8,1.9
252,"梅沢　富美男",12.9,73.9,12.9,0.9,14.9,4.6,1.2,2.2,7.7
252,"新田　真剣佑",12.9,59.9,1.0,4.6,5.7,1.9,1.0,26.9,4.3
254,"温水　洋一",12.7,64.2,10.3,0.5,20.2,3.4,1.2,0.9,4.8
254,"はじめしゃちょ－",12.7,72.4,14.6,3.1,13.9,2.6,1.2,4.3,1.5
254,"城田　優",12.7,63.6,1.7,6.2,7.4,2.1,0.7,22.6,7.0
254,"藤木　直人",12.7,54.0,0.7,6.3,4.6,2.6,0.3,19.2,12.5
254,"瀬戸　康史",12.7,48.2,1.0,6.5,3.4,1.4,4.8,15.4,3.4
259,"哀川　翔",12.5,68.3,5.7,1.4,14.8,1.7,0.7,10.8,12.0
259,"満島　真之介",12.5,43.1,7.0,2.7,6.5,1.5,1.0,10.3,2.1
261,"上川　隆也",12.3,47.0,2.4,3.9,5.7,3.6,0.7,9.9,14.2
261,"染谷　将太",12.3,46.5,1.4,1.4,12.7,1.7,0,6.5,2.9
263,"つるの　剛士",12.2,71.2,7.9,1.5,10.1,3.1,0.5,5.7,5.1
263,"笹野　高史",12.2,53.7,5.7,0.9,13.7,2.9,1.0,1.2,6.3
263,"柄本　明",12.2,47.0,3.4,0.7,12.0,3.6,0,2.6,9.3
266,"羽生　結弦",12.0,75.8,0.9,10.6,8.9,3.1,2.9,13.9,3.4
266,"田中　要次",12.0,53.7,3.4,0.9,15.1,1.9,0.7,3.1,9.6
268,"柄本　佑",11.8,44.1,2.1,1.7,13.7,2.1,0.3,2.7,4.3
268,"今野　浩喜",11.8,42.5,11.3,0.3,13.6,0.9,1.2,0.3,1.2
268,"長谷川　博己",11.8,41.7,0.7,2.1,5.0,2.4,0.3,9.8,13.0
268,"赤楚　衛二",11.8,32.1,2.1,4.1,2.2,1.7,1.5,11.0,1.7
272,"ビビる大木",11.7,69.1,20.9,1.2,10.3,3.1,0.5,1.2,2.6
272,"勝俣　州和",11.7,68.1,17.2,1.4,11.3,1.9,1.5,1.2,2.9
272,"國村　隼",11.7,38.8,0.7,0.9,7.4,3.6,0.5,5.3,11.3
275,"中山　秀征",11.5,65.2,9.8,1.5,7.5,4.5,1.0,1.4,4.6
275,"岩田　剛典",11.5,48.5,1.2,7.4,4.1,1.7,2.7,20.9,3.4
275,"尾上　松也",11.5,50.6,4.6,1.9,7.9,1.2,0.2,6.9,6.3
275,"中川　大志",11.5,45.6,1.0,7.0,2.9,1.4,1.5,18.0,2.1
275,"山崎　育三郎",11.5,45.6,4.1,5.5,5.8,2.4,0.9,13.7,6.7
