"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
201,"板垣　李光人",16.6,58.4,1.7,9.7,9.9,2.9,19.5,14.9,1.2
205,"永山　瑛太",16.4,68.7,1.2,5.2,12.2,4.1,0.4,23.0,13.5
205,"椎名　桔平",16.4,64.8,3.7,3.5,8.7,3.7,0.6,14.9,25.7
207,"松丸　亮吾",16.2,78.1,7.7,7.2,8.3,10.6,12.2,8.5,1.5
207,"岸　優太",16.2,75.2,24.4,5.8,9.3,2.3,9.1,13.5,1.9
207,"成田　凌",16.2,73.5,2.9,6.8,12.2,3.5,1.7,24.2,8.5
207,"中尾　明慶",16.2,70.2,15.3,4.6,14.1,3.7,3.9,8.5,4.8
211,"オダギリ　ジョ－",16.1,78.9,3.7,2.7,22.4,5.0,0.6,21.3,24.2
211,"江口　洋介",16.1,73.7,1.5,5.4,5.0,6.0,0,22.6,29.6
211,"渡部　篤郎",16.1,65.4,2.9,3.9,6.0,6.0,1.0,14.3,27.5
214,"草なぎ　剛",15.9,86.7,10.6,4.4,19.5,4.3,1.0,9.1,8.3
214,"あばれる君",15.9,84.5,34.8,2.5,15.5,2.7,1.9,0.4,0.2
214,"高田　純次",15.9,74.9,31.9,1.5,16.1,2.5,0.8,3.5,12.8
214,"藤井　隆",15.9,70.6,25.7,3.1,17.6,3.9,0.4,1.5,2.9
218,"又吉　直樹",15.7,85.7,19.9,1.2,33.5,5.6,1.2,1.7,4.3
218,"加藤　諒",15.7,82.8,26.1,1.4,37.3,1.2,2.5,0.6,1.7
218,"塚地　武雅",15.7,79.7,34.0,1.7,14.9,3.9,1.9,1.2,1.9
218,"水上　恒司",15.7,41.8,1.2,8.5,2.9,2.9,1.4,22.2,2.1
222,"片桐　仁",15.5,63.2,15.7,1.5,27.5,2.3,0.6,1.5,2.9
223,"羽生　結弦",15.3,87.8,1.4,12.0,11.8,5.6,5.4,12.0,3.5
223,"藤ヶ谷　太輔",15.3,75.4,2.7,8.7,4.6,2.3,1.9,31.1,6.6
223,"岡部　大",15.3,70.4,30.8,2.7,9.5,3.1,3.1,0,0
223,"平子　祐希",15.3,62.9,24.0,2.7,10.4,1.9,1.0,6.8,9.5
223,"小関　裕太",15.3,48.9,1.4,7.5,3.5,2.5,4.8,19.5,2.1
228,"ケンド－コバヤシ",15.1,84.3,38.9,1.5,12.0,3.9,1.2,2.3,7.2
228,"溝端　淳平",15.1,72.3,2.3,9.7,3.7,3.5,1.7,28.6,4.4
228,"仲村　トオル",15.1,67.1,1.4,4.1,5.0,4.4,0.6,15.9,29.6
228,"神尾　楓珠",15.1,56.1,1.7,6.6,6.2,1.4,2.7,23.6,1.4
228,"高杉　真宙",15.1,57.4,1.5,10.1,3.5,1.9,6.6,25.0,2.5
233,"後藤　輝基",14.9,79.7,36.4,1.9,7.7,3.7,0.4,1.0,1.7
233,"高橋　克実",14.9,78.7,20.1,1.9,20.7,4.8,1.4,0.8,7.5
233,"伊沢　拓司",14.9,77.0,11.4,4.8,8.5,10.8,0.8,2.5,2.1
233,"くっき－！",14.9,80.5,32.5,1.0,30.6,1.0,0.6,1.0,1.5
233,"伊藤　英明",14.9,72.9,2.3,4.8,7.0,4.1,1.2,22.1,21.9
233,"野間口　徹",14.9,70.6,6.0,3.1,25.5,4.1,0.4,0.8,5.4
233,"本田　響矢",14.9,32.7,1.7,7.9,2.9,2.1,7.0,16.1,1.4
240,"名倉　潤",14.7,84.5,35.2,1.7,11.0,5.2,1.7,1.2,3.5
240,"要　潤",14.7,80.1,3.1,7.5,7.7,4.4,1.2,19.3,17.8
240,"豊川　悦司",14.7,69.1,2.5,2.5,8.7,5.4,0.4,14.1,33.3
240,"内野　聖陽",14.7,50.5,3.1,2.3,7.9,4.3,0.6,12.6,19.1
244,"古田　新太",14.5,74.5,13.3,1.5,30.8,3.7,0.6,1.9,11.0
244,"草刈　正雄",14.5,69.1,2.9,2.7,7.5,5.8,1.0,9.9,28.4
244,"林　遣都",14.5,68.3,2.5,8.5,9.9,4.4,2.9,18.6,3.9
244,"小手　伸也",14.5,66.7,16.6,1.7,23.6,2.9,1.0,1.4,6.8
244,"竜星　涼",14.5,46.8,2.5,5.8,5.2,3.1,1.0,19.3,3.1
249,"ウエンツ　瑛士",14.3,84.5,14.5,8.3,10.4,3.7,2.3,13.9,3.1
249,"佐藤　隆太",14.3,80.7,8.3,5.0,9.1,4.1,1.7,11.0,7.4
249,"柳沢　慎吾",14.3,80.3,35.0,1.2,19.1,3.3,1.0,1.2,1.7
252,"谷原　章介",14.1,74.9,1.7,11.0,5.8,8.5,0.2,11.6,17.4
252,"鈴木　伸之",14.1,54.4,1.7,7.4,3.3,1.9,1.4,24.6,5.4
254,"役所　広司",13.9,77.6,2.1,3.1,9.7,8.1,0.2,9.9,29.8
254,"佐藤　浩市",13.9,73.1,1.5,2.3,7.0,7.2,0.6,13.5,31.5
