"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
176,"矢部　浩之",11.0,48.5,14.5,0.9,5.7,0.9,0.4,2.6,4.0
176,"後藤　輝基",11.0,46.3,20.7,0.4,6.2,2.6,0.4,1.3,3.1
176,"オダギリ　ジョ－",11.0,38.3,4.4,0.9,7.5,2.2,0.9,13.7,11.0
176,"坂口　健太郎",11.0,35.7,0.4,4.8,3.5,1.3,1.3,14.5,3.5
176,"野村　萬斎",11.0,35.2,3.1,2.2,7.0,4.0,0.9,4.8,10.6
176,"角田　晃広",11.0,31.3,11.9,0.9,7.0,1.8,0,0.9,2.2
185,"伊集院　光",10.6,45.8,14.5,0.9,7.5,4.0,0.9,1.3,1.3
185,"田中　直樹",10.6,44.5,21.1,0,5.7,1.3,0.9,0.9,0.9
185,"阿部　亮平",10.6,37.9,3.5,4.0,2.2,3.1,0.9,15.4,2.2
185,"高橋　海人",10.6,35.7,3.1,2.2,3.1,0.4,4.4,12.8,0.9
185,"濱田　岳",10.6,34.4,7.9,0.4,11.9,3.1,2.6,2.6,3.1
185,"玉木　宏",10.6,33.9,3.1,2.2,1.8,2.6,0,14.5,9.7
191,"又吉　直樹",10.1,52.4,10.6,1.3,17.6,2.6,0.4,1.8,5.3
191,"藤森　慎吾",10.1,44.1,14.5,3.5,6.2,1.8,0.9,4.0,1.3
191,"生田　斗真",10.1,38.8,0.9,4.0,2.2,1.3,0.4,18.5,5.3
191,"桐谷　健太",10.1,41.4,5.7,1.8,6.6,0.4,0.4,12.3,3.5
191,"高田　純次",10.1,35.7,15.0,2.2,6.2,2.2,0.4,4.0,8.8
191,"岡田　将生",10.1,30.8,0.9,3.5,1.3,0.9,2.2,14.5,3.1
191,"北村　一輝",10.1,28.2,1.3,0,5.7,1.8,0,5.7,11.5
191,"ひょうろく",10.1,30.8,12.3,0,9.3,0.4,1.3,0,0.4
199,"香取　慎吾",9.7,57.3,11.0,1.3,9.7,2.6,0.9,7.0,5.3
199,"武田　鉄矢",9.7,49.3,5.3,0.4,7.0,3.5,0.4,2.2,7.5
199,"関根　勤",9.7,42.7,13.2,1.3,6.2,3.5,0,1.3,4.8
199,"道枝　駿佑",9.7,39.2,0.9,4.0,1.3,0.4,8.8,16.3,0.9
199,"竹中　直人",9.7,34.8,7.5,0.4,12.3,1.8,0.4,3.5,8.4
199,"片岡　愛之助",9.7,34.4,4.4,0.9,7.5,1.8,1.3,4.0,7.5
199,"片桐　仁",9.7,31.3,8.8,0.9,10.6,0.9,0.4,1.8,3.1
199,"平子　祐希",9.7,35.2,13.7,0.4,4.8,2.2,0.9,3.1,4.4
199,"森田　哲矢",9.7,33.0,17.2,0.9,3.1,1.3,0.4,0.9,0.4
199,"佐野　勇斗",9.7,30.4,3.1,4.0,1.3,0.9,0.9,9.7,2.2
199,"豊川　悦司",9.7,30.4,1.8,1.3,5.3,3.1,0.4,6.6,15.0
210,"井ノ原　快彦",9.3,42.7,4.0,2.2,3.1,3.5,1.3,5.3,6.6
210,"堂本　剛",9.3,43.2,2.6,1.3,12.8,1.3,1.3,11.0,7.0
210,"渡辺　謙",9.3,38.8,0.4,1.3,3.1,4.4,0.4,7.5,16.3
210,"伊藤　俊介",9.3,38.8,16.3,0.4,4.8,1.3,0.9,1.3,0.9
210,"唐沢　寿明",9.3,35.2,2.6,1.3,4.8,5.3,1.3,7.5,12.8
210,"妻夫木　聡",9.3,33.5,0.4,3.1,1.3,1.8,0.9,12.3,4.4
210,"市原　隼人",9.3,30.4,1.3,1.8,4.4,1.8,0,10.6,6.6
210,"窪田　正孝",9.3,30.4,2.2,3.5,5.3,0.9,0.9,9.7,1.8
210,"仲野　太賀",9.3,25.1,5.3,0.9,5.3,2.6,1.8,2.6,1.8
219,"坂上　忍",8.8,62.6,5.7,0.4,13.2,4.0,0,1.3,4.8
219,"太田　光",8.8,53.3,16.3,0.9,14.5,2.2,0,1.8,1.8
219,"田村　淳",8.8,55.1,16.7,0.9,9.7,1.8,0.4,1.8,3.5
219,"加藤　諒",8.8,47.1,10.1,1.3,18.1,1.3,1.8,1.3,1.3
219,"ジェシ－",8.8,45.4,10.6,2.2,6.2,2.2,1.8,12.3,4.0
